NAAM;STRAAT;GEMEENTE;WGS84_LATITUDE;WGS84_LONGITUDE;EMAIL;LINK;POITYPE;CATEGORIE
Vrije Basisschool;Margrietstraat;Aalst;50,9564078;4,14143078;joy.fieremans@vbsbaardegem.be;https://www.vbsbaardegem.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool;Margrietstraat;Aalst;50,9564078;4,14143078;joy.fieremans@vbsbaardegem.be;https://www.vbsbaardegem.be;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool;Meldert-Dorp;Aalst;50,93348099;4,13474166;directie@vbsmeldert.be;https://www.vbsmeldert.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool;Meldert-Dorp;Aalst;50,93348099;4,13474166;directie@vbsmeldert.be;https://www.vbsmeldert.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Basisschool Tinnenhoek;Herbergstraat;Aalst;50,96619566;4,10212167;sbstinnenhoek@aalst.be;https://www.sbstinnenhoek.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool Tinnenhoek;Herbergstraat;Aalst;50,96619566;4,10212167;sbstinnenhoek@aalst.be;https://www.sbstinnenhoek.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Academie voor Beeldende Kunsten;Herbergstraat;Aalst;50,96619566;4,10212167; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
GO! Basisschool Faluintjes Moorsel;Leirekenstraat;Aalst;50,95080574;4,10199547;directie@bsfaluintjes.be;https://www.bsfaluintjes.be;Gewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool Faluintjes Moorsel;Leirekenstraat;Aalst;50,95080574;4,10199547;directie@bsfaluintjes.be;https://www.bsfaluintjes.be;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool Sint-Maarten;Kloosterstraat;Aalst;50,9496305;4,09908487;22723@sgvbd.be;https://users.telenet.be/VBmoorsel.immerzeel;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool Sint-Maarten;Kloosterstraat;Aalst;50,9496305;4,09908487;22723@sgvbd.be;https://users.telenet.be/VBmoorsel.immerzeel;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool - De Stip;Dom Modest Van Asschelaan;Aalst;50,91205166;4,07876768; ;;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - De Stip;Dom Modest Van Asschelaan;Aalst;50,91205166;4,07876768; ;;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool Sint-Maarten;Immerzeeldreef;Aalst;50,93021713;4,07073251; ;;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool Sint-Maarten;Immerzeeldreef;Aalst;50,93021713;4,07073251; ;;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool voor Buitengewoon Onderwijs - De Zonneroos;Botermelkstraat;Aalst;50,95592448;4,06988635;directeur@zonnerooslevensvreugde.be;https://www.zonneroos.be;Buitengewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool voor Buitengewoon Onderwijs - De Zonneroos;Botermelkstraat;Aalst;50,95592448;4,06988635;directeur@zonnerooslevensvreugde.be;https://www.zonneroos.be;Buitengewoon lager onderwijs;Basisonderwijs
Buitengewoon Secundair Onderwijs Levensvreugde;Botermelkstraat;Aalst;50,95592448;4,06988635;directeur@busolevensvreugde.be;https://www.busonder.be;Buitengewoon secundair onderwijs;Secundair onderwijs
Vrije Kleuterschool Sint-Maarten;Langestraat;Aalst;50,939727;4,06685923; ;;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool 't Meivisje;Grote Baan;Aalst;50,97120694;4,06662849;sbstmeivisje@aalst.be;https://www.sbstmeivisje.be;Gewoon kleuteronderwijs;Basisonderwijs
Stedelijke Basisschool 't Meivisje;Grote Baan;Aalst;50,97120694;4,06662849;sbstmeivisje@aalst.be;https://www.sbstmeivisje.be;Gewoon lager onderwijs;Basisonderwijs
Stedelijke Academie voor Beeldende Kunsten;Grote Baan;Aalst;50,97120694;4,06662849; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Vrije Basisschool - Herdersem;Alfons De Cockstraat;Aalst;50,97318136;4,06537711;directie@vsherdersem.be;https://www.vsherdersem.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - Herdersem;Alfons De Cockstraat;Aalst;50,97318136;4,06537711;directie@vsherdersem.be;https://www.vsherdersem.be;Gewoon lager onderwijs;Basisonderwijs
Vrije Basisschool Steinerschool Michaëli Aalst;Affligemdreef;Aalst;50,9340487;4,06451996;directie@steinerschoolaalst.be;https://www.steinerschoolaalst.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool Steinerschool Michaëli Aalst;Affligemdreef;Aalst;50,9340487;4,06451996;directie@steinerschoolaalst.be;https://www.steinerschoolaalst.be;Gewoon lager onderwijs;Basisonderwijs
Middelbare Steinerschool Vlaanderen;Affligemdreef;Aalst;50,9340487;4,06451996; ;;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Stedelijke Academie voor Podiumkunsten (muziek, woord en dans);Gaston De Schepperstraat;Aalst;50,91928021;4,05804519; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Stedelijke Academie voor Beeldende Kunsten;Gaston De Schepperstraat;Aalst;50,91928021;4,05804519; ;;Deeltijds kunstonderwijs;Deeltijds kunstonderwijs
Vrije Basisschool - De Stip;Termurenlaan;Aalst;50,92251778;4,05517932;directie@vbsdestip.be;https://www.vbsdestip.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije Basisschool - De Stip;Termurenlaan;Aalst;50,92251778;4,05517932;directie@vbsdestip.be;https://www.vbsdestip.be;Gewoon lager onderwijs;Basisonderwijs
GO! freinetschool De Speelplaneet Gijzegem;Meersstraat;Aalst;50,98616127;4,05486834;directie@bsdespeelplaneet.be;https://www.freinetschooldespeelplaneet.be;Gewoon kleuteronderwijs;Basisonderwijs
GO! freinetschool De Speelplaneet Gijzegem;Meersstraat;Aalst;50,98616127;4,05486834;directie@bsdespeelplaneet.be;https://www.freinetschooldespeelplaneet.be;Gewoon lager onderwijs;Basisonderwijs
GO! Basisschool De Nieuwe Arend Aalst;Binnenstraat;Aalst;50,94962804;4,05455731;directie@denieuwearend.be;https://www.denieuwearend.be;Gewoon kleuteronderwijs;Basisonderwijs
GO! Basisschool De Nieuwe Arend Aalst;Binnenstraat;Aalst;50,94962804;4,05455731;directie@denieuwearend.be;https://www.denieuwearend.be;Gewoon lager onderwijs;Basisonderwijs
Sint-Augustinusinstituut;Leopoldlaan;Aalst;50,94343089;4,053247;info@sai-aalst.be;https://www.sai-aalst.be;Voltijds gewoon secundair onderwijs;Secundair onderwijs
Vrije basisschool Sint-Maartenbasisschool Moorselbaan;Moorselbaan;Aalst;50,94263663;4,05205714;tessa.saeys@sgvbd.be;https://www.smi-aalst.be;Gewoon kleuteronderwijs;Basisonderwijs
Vrije basisschool Sint-Maartenbasisschool Moorselbaan;Moorselbaan;Aalst;50,94263663;4,05205714;tessa.saeys@sgvbd.be;https://www.smi-aalst.be;Gewoon lager onderwijs;Basisonderwijs
Vrije Lagere School voor Buitengewoon Onderwijs - Don Bosco;Bergemeersenstraat;Aalst;50,93857195;4,0515012;contact@donboscobuloaalst.be;https://www.donboscobuloaalst.be;Buitengewoon lager onderwijs;Basisonderwijs
Buitengewoon Secundair Onderwijs Don Bosco;Bergemeersenstraat;Aalst;50,93857195;4,0515012;donboscoaalst.buso@telenet.be;https://donboscobusoaalst.com;Buitengewoon secundair onderwijs;Secundair onderwijs
